# File generated by CMD 3.0 (http://stev.oapd.inaf.it/cmd) on Fri Oct 12 02:40:59 CEST 2018
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# Warning: you choose not to include the TP-AGB phase!
# Photometric system: Pan-STARRS1
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.00152	Y = 0.25121	[M/H] = -1.008	eta_R = 0.200	Age = 	1.0000e+10 yr
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    gP1     rP1     iP1     zP1     yP1     wP1	int_IMF	stage
	0.001520	10.0000	0.76069546	0.7603	-0.0730	3.7833	4.4772	4.953	5.215	4.927	4.834	4.825	4.832	4.975	3.05398178	1
	0.001520	10.0000	0.77038717	0.7699	-0.0279	3.7866	4.4509	4.840	5.094	4.818	4.731	4.726	4.733	4.865	3.05855751	1
	0.001520	10.0000	0.77951521	0.7790	0.0162	3.7897	4.4240	4.729	4.975	4.711	4.629	4.627	4.636	4.758	3.06276608	1
	0.001520	10.0000	0.78813446	0.7876	0.0596	3.7924	4.3964	4.621	4.860	4.605	4.528	4.529	4.539	4.651	3.06665325	1
	0.001520	10.0000	0.79587275	0.7953	0.1003	3.7948	4.3695	4.519	4.751	4.505	4.433	4.436	4.446	4.550	3.07007360	1
	0.001520	10.0000	0.80000001	0.7994	0.1228	3.7960	4.3541	4.463	4.692	4.449	4.380	4.384	4.395	4.495	3.07187057	1
	0.001520	10.0000	0.80529296	0.8046	0.1524	3.7976	4.3337	4.389	4.613	4.377	4.310	4.315	4.327	4.421	3.07414770	1
	0.001520	10.0000	0.81580549	0.8151	0.2133	3.8003	4.2893	4.237	4.453	4.226	4.164	4.172	4.185	4.270	3.07858062	1
	0.001520	10.0000	0.82506114	0.8242	0.2701	3.8022	4.2446	4.095	4.305	4.084	4.026	4.036	4.049	4.128	3.08238769	1
	0.001520	10.0000	0.83263206	0.8317	0.3200	3.8032	4.2026	3.970	4.177	3.960	3.903	3.914	3.928	4.003	3.08543730	1
	0.001520	10.0000	0.83465254	0.8337	0.3338	3.8033	4.1905	3.936	4.142	3.925	3.869	3.880	3.894	3.968	3.08624148	1
	0.001520	10.0000	0.84098744	0.8400	0.3811	3.8029	4.1447	3.817	4.023	3.806	3.749	3.760	3.774	3.849	3.08873749	1
	0.001520	10.0000	0.84801811	0.8469	0.4389	3.8007	4.0817	3.673	3.881	3.659	3.600	3.609	3.621	3.703	3.09146285	1
	0.001520	10.0000	0.85000002	0.8489	0.4567	3.7996	4.0604	3.628	3.838	3.614	3.553	3.561	3.572	3.658	3.09222293	1
	0.001520	10.0000	0.85162085	0.8505	0.4715	3.7986	4.0426	3.591	3.803	3.576	3.513	3.521	3.532	3.620	3.09284163	2
	0.001520	10.0000	0.85355872	0.8524	0.4910	3.7966	4.0162	3.543	3.759	3.526	3.460	3.466	3.476	3.570	3.09357834	2
