visit year month day ra_hour ra_min ra_sec dec_deg dec_min dec_sec
410929 2015 02 17.15939 10 17 50.416 -07 01 29.36
410985 2015 02 17.24529 10 17 50.013 -07 01 27.35
411035 2015 02 17.31416 10 17 49.678 -07 01 25.68
411069 2015 02 17.36113 10 17 49.454 -07 01 24.68
